City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
376,Murgab,TM,76.87,clear sky,37.5,61.97,Wepa Nurlyýew
377,Nuoro,IT,69.49,clear sky,40.32,9.33,Hotel Sandalia
379,Manuk Mangkaw,PH,82.99,scattered clouds,4.8,119.85,
381,Kharian,PK,77.25,overcast clouds,32.81,73.86,Fiza Hostel
382,Coruripe,BR,73.51,overcast clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
383,Lagoa,PT,70.79,clear sky,39.05,-27.98,Casa Das Faias
385,Helena,US,88.79,clear sky,46.59,-112.04,"Holiday Inn Express & Suites Helena, an IHG Hotel"
386,Khatra,IN,88.39,overcast clouds,22.98,86.85,Aranyak Resort Mukutmanipur
387,La Palma,US,89.87,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
388,Jacareacanga,BR,78.33,overcast clouds,-6.22,-57.75,Casa do Ian😎
389,Westport,US,82.22,clear sky,41.14,-73.36,The Westport Inn
390,Goderich,CA,72.91,clear sky,43.75,-81.72,Harmony Inn
392,Sola,VU,81.23,few clouds,-13.88,167.55,Ulkel Guest House
394,Ipixuna,BR,73.58,broken clouds,-1.76,-48.8,Chalé do Mato
395,Ulaangom,MN,69.69,clear sky,49.98,92.07,Achit Nuur Hotel & Restaurant
397,Lorengau,PG,84.58,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
400,Isangel,VU,84.31,broken clouds,-19.55,169.27,Tanna Lodge
401,Hastings,GB,65.98,scattered clouds,50.86,0.57,Zanzibar Hotel
403,Carnot,CF,67.69,broken clouds,4.94,15.87,
404,Bonfim,BR,74.66,broken clouds,3.08,-59.95,
405,Astana,KZ,73.35,clear sky,51.18,71.45,King Hotel Astana
406,Cayenne,GF,80.1,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
409,Cockburn Town,TC,82.18,clear sky,21.46,-71.14,Osprey Beach Hotel
413,San-Pedro,CI,74.19,overcast clouds,4.75,-6.64,Hotel Maria
414,Mahebourg,MU,68.29,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
415,Szczecinek,PL,65.66,few clouds,53.71,16.7,Hotel Pojezierze - Szczecinek
416,Mezhdurechensk,RU,66.9,overcast clouds,53.69,88.06,Apartments Mezhdurechensk
418,Abu Samrah,SY,73.81,clear sky,35.3,37.18,
