City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Baisha,CN,26.52,110.93,90.34,59,100,3.47,overcast clouds
327,Buchanan,LR,5.88,-10.05,74.34,79,100,9.31,overcast clouds
328,Okoneshnikovo,RU,54.84,75.08,65.77,79,65,3.8,broken clouds
329,Xai-Xai,MZ,-25.05,33.64,62.29,88,5,1.86,clear sky
330,Paamiut,GL,61.99,-49.67,49.26,81,98,13.31,overcast clouds
331,Teguldet,RU,57.31,88.17,63.5,81,96,5.73,overcast clouds
332,Lamar,US,33.67,-95.58,93.11,49,0,8.05,clear sky
333,Auchterarder,GB,56.30,-3.71,56.28,81,78,0.65,broken clouds
334,Huntington,US,38.42,-82.45,78.51,94,0,5.03,clear sky
335,Washougal,US,45.58,-122.35,89.46,38,0,10.36,clear sky
336,Pilar,BR,-9.60,-35.96,73.33,95,99,3.2,overcast clouds
337,Buluang,PH,13.31,123.34,89.13,62,100,0.76,heavy intensity rain
338,Cordoba,AR,-31.41,-64.18,57.76,64,0,5.75,clear sky
339,Saint-Denis,FR,48.92,2.33,67.1,88,0,5.75,clear sky
340,Nishihara,JP,26.18,127.76,90.68,84,20,11.5,few clouds
341,Russkaya Polyana,UA,49.42,31.92,54.12,81,1,9.08,clear sky
342,Muzhi,RU,65.37,64.67,63.23,57,68,9.1,broken clouds
343,Nagato,JP,34.38,131.20,82.49,88,100,12.17,overcast clouds
344,Aripuana,BR,-9.17,-60.63,72.32,51,0,2.15,clear sky
345,Malia,GR,35.28,25.47,75.81,84,4,11.9,clear sky
346,Zapolyarnyy,RU,69.42,30.81,54.68,83,98,2.01,overcast clouds
347,Nanortalik,GL,60.14,-45.24,49.06,87,15,13.29,few clouds
348,Jalu,LY,29.03,21.55,71.28,52,0,9.8,clear sky
349,Ust-Barguzin,RU,53.45,108.98,59.97,72,83,5.3,broken clouds
350,Komsomolskiy,UZ,40.43,71.72,86.72,26,0,6.91,clear sky
351,Charagua,BO,-19.80,-63.22,63.64,81,19,7.94,few clouds
352,Severobaykalsk,RU,55.65,109.32,57.2,73,76,4.21,broken clouds
353,Srednekolymsk,RU,67.45,153.68,57.4,49,43,5.35,scattered clouds
354,Nabire,ID,-3.37,135.48,85.98,63,89,5.23,overcast clouds
355,Kalangala,UG,-0.31,32.23,65.55,63,7,17.96,clear sky
356,Saint George,US,37.10,-113.58,104.59,16,0,14.97,clear sky
357,Lasa,IT,46.62,10.70,65.35,87,37,1.7,scattered clouds
358,Port-Cartier,CA,50.03,-66.87,69.48,66,0,6.85,clear sky
359,Killybegs,IE,54.63,-8.45,53.19,88,86,5.12,overcast clouds
360,Dubbo,AU,-32.25,148.62,62.73,48,87,24.16,overcast clouds
361,Mount Gambier,AU,-37.83,140.77,58.19,52,5,8.03,clear sky
